n° elem	exec time	std	n° rip
100	1.7562e-06	5.15508e-07	150
200	1.28135e-06	6.94389e-07	143
300	2.9071e-06	1.21092e-06	136
400	3.32705e-06	7.28357e-07	129
500	8.3466e-06	9.3353e-07	122
600	9.8724e-06	2.17437e-06	115
700	4.9329e-06	1.66354e-06	108
800	1.29692e-05	1.84632e-06	101
900	1.45166e-05	3.36054e-06	94
1000	1.75405e-05	2.36173e-06	87
2000	5.50417e-05	2.08545e-06	80
3000	5.8395e-05	3.60342e-06	73
4000	9.11905e-05	6.01163e-06	66
5000	8.25892e-05	4.26337e-06	59
6000	9.01192e-05	4.47825e-06	52
7000	0.000234551	1.8901e-05	45
8000	0.000141065	2.1911e-05	38
9000	0.000235224	1.56093e-05	31
10000	0.000164718	9.24384e-06	24
20000	0.000260965	6.67406e-05	17
30000	0.000628221	4.42919e-05	10
40000	0.000899027	9.48606e-05	5
50000	0.00126707	0.000219274	5
60000	0.00175467	0.000192415	5
70000	0.00178374	7.87317e-05	5
80000	0.00160647	7.43339e-05	5
90000	0.00199836	0.000620329	5
100000	0.0013706	7.40806e-05	5
125000	0.00220075	8.89487e-05	5
150000	0.00256488	0.00108863	5
175000	0.00149686	0.000637412	5
200000	0.00380009	0.000569644	5
225000	0.00561551	0.000105727	5
250000	0.00376147	0.00061716	5
275000	0.00678234	0.000451026	5
300000	0.00896381	0.00150037	5
325000	0.0108856	0.000614799	5
350000	0.00551846	0.000910225	5
375000	0.00973625	0.000636026	5
400000	0.00817161	0.00198288	5
425000	0.007962	0.00148479	5
450000	0.00873589	0.00237188	5
475000	0.0125413	0.00177261	5
500000	0.0136769	0.00222499	5
550000	0.0148363	0.00142837	5
600000	0.0155899	0.00270523	5
650000	0.016272	0.00175365	5
700000	0.0163741	0.00457273	5
750000	0.0192564	0.0033941	5
800000	0.011856	0.00541008	5
850000	0.0193692	0.00256433	5
900000	0.0188951	0.00185423	5
950000	0.0169965	0.00395019	5
1000000	0.0233509	0.00519862	5
1250000	0.03182	0.00335135	5
1500000	0.0346178	0.0060557	5
1750000	0.0388494	0.0111756	5
2000000	0.0464744	0.00721655	5
2250000	0.0437193	0.0142834	5
2500000	0.0512359	0.0213227	5
2750000	0.0634866	0.0174482	5
3000000	0.06362	0.0206873	5
3250000	0.0699085	0.0233974	5
3500000	0.0737232	0.0116371	5
3750000	0.0871941	0.0133818	5
4000000	0.0909188	0.0236797	5
4250000	0.0962836	0.0311338	5
4500000	0.103646	0.0250902	5
4750000	0.105394	0.0320741	5
5000000	0.111876	0.0234948	5
