n° elem	exec time	std	n° rip
100	1.01968e-05	9.19485e-07	150
200	2.20182e-05	6.92227e-07	143
300	3.44928e-05	9.18275e-07	136
400	4.7329e-05	1.08483e-06	129
500	6.12491e-05	1.32918e-06	122
600	7.5129e-05	1.80674e-06	115
700	8.94605e-05	1.86743e-06	108
800	0.000104669	2.81867e-06	101
900	0.000118444	1.76434e-06	94
1000	0.000134379	1.3872e-06	87
2000	0.000300664	5.01029e-06	80
3000	0.000478918	6.14754e-06	73
4000	0.000671814	5.90792e-06	66
5000	0.00089515	7.18849e-06	59
6000	0.00113467	7.26645e-06	52
7000	0.00140654	1.21201e-05	45
8000	0.00168077	2.31094e-05	38
9000	0.00198043	4.1856e-05	31
10000	0.00226113	1.74257e-05	24
20000	0.00550998	3.46559e-05	17
30000	0.00891974	7.09963e-05	10
40000	0.0127466	9.92475e-05	5
50000	0.0166431	0.000319659	5
60000	0.0208603	0.00039619	5
70000	0.0248895	0.000424604	5
80000	0.0294678	0.00114108	5
90000	0.0342706	0.000412787	5
100000	0.0396427	0.000517755	5
200000	0.12242	0.000956091	5
300000	0.232087	0.00189045	5
400000	0.352224	0.00243833	5
500000	0.480312	0.0111138	5
600000	0.614408	0.00567969	5
700000	0.755965	0.00833703	5
800000	0.903721	0.0261129	5
900000	1.04521	0.00608749	5
1000000	1.1995	0.00548945	5
