n° elem	exec time	std	n° rip
100	1.00871e-05	4.73734e-07	150
200	2.24619e-05	6.34389e-07	143
300	3.52264e-05	1.127e-06	136
400	4.81406e-05	1.85437e-06	129
500	6.10243e-05	1.35081e-06	122
600	7.4365e-05	1.03636e-06	115
700	9.01696e-05	2.07693e-06	108
800	0.000103686	1.62077e-06	101
900	0.000118961	1.69162e-06	94
1000	0.000133764	2.68682e-06	87
2000	0.000301582	7.84247e-06	80
3000	0.000476402	5.9728e-06	73
4000	0.000709003	0.000120565	66
5000	0.000891042	8.14852e-06	59
6000	0.00113718	9.78286e-06	52
7000	0.00146872	9.78683e-05	45
8000	0.0017064	6.82886e-05	38
9000	0.00198285	2.20004e-05	31
10000	0.0022639	2.4446e-05	24
20000	0.00555028	0.000162251	17
30000	0.00902224	7.59004e-05	10
40000	0.0128796	0.000347969	5
50000	0.0166367	0.000241213	5
60000	0.0205968	0.000253122	5
70000	0.0246321	0.000320296	5
80000	0.0296602	0.00110576	5
90000	0.0344203	0.000400489	5
100000	0.0397826	0.000799716	5
200000	0.123078	0.00133731	5
300000	0.233138	0.00298734	5
400000	0.351668	0.00152729	5
500000	0.480073	0.00389012	5
600000	0.612872	0.00287237	5
700000	0.753086	0.00990751	5
800000	0.906038	0.0192458	5
900000	1.04508	0.00399968	5
1000000	1.19878	0.00475509	5
