n° elem	exec time	std	n° rip
100	1.11833e-05	4.58601e-07	150
200	2.61294e-05	8.26213e-07	143
300	4.15634e-05	8.80686e-07	136
400	5.5822e-05	2.75152e-06	129
500	6.70832e-05	9.42541e-07	122
600	8.37964e-05	2.28626e-06	115
700	0.000108806	2.58428e-06	108
800	0.000124846	1.9303e-06	101
900	0.000130432	3.04212e-06	94
1000	0.000146307	1.91451e-06	87
2000	0.000324809	3.78095e-06	80
3000	0.000514649	6.69772e-06	73
4000	0.000707073	6.38984e-06	66
5000	0.000923406	7.67683e-06	59
6000	0.0011644	5.25183e-06	52
7000	0.00143403	2.64806e-05	45
8000	0.00170505	3.37955e-05	38
9000	0.00198681	6.14569e-05	31
10000	0.00225246	1.26687e-05	24
20000	0.005277	7.99807e-05	17
30000	0.00851932	4.87788e-05	10
40000	0.0119399	0.000135799	5
50000	0.0154305	0.000182664	5
60000	0.0191687	0.000314022	5
70000	0.0228688	0.000221794	5
80000	0.0290136	0.00204995	5
90000	0.0334048	0.00237694	5
100000	0.0365079	0.00130064	5
200000	0.110725	0.000370052	5
300000	0.207539	0.00114727	5
400000	0.314475	0.00691646	5
500000	0.421428	0.00127387	5
600000	0.539726	0.00776454	5
700000	0.657589	0.0126571	5
800000	0.78771	0.0228471	5
900000	0.908913	0.0159514	5
1000000	1.04383	0.0409571	5
