n° elem	init time	n° rip
100	4.5669e-05	150
200	7.8857e-05	143
300	0.000102366	136
400	0.000162213	129
500	0.000141313	122
600	0.00014989	115
700	0.000174716	108
800	0.000202113	101
900	0.000286237	94
1000	0.000242154	87
2000	0.000489798	80
3000	0.000741769	73
4000	0.000983528	66
5000	0.00126544	59
6000	0.00177476	52
7000	0.00170303	45
8000	0.00190721	38
9000	0.00226181	31
10000	0.00243707	24
20000	0.00527459	17
30000	0.00763651	10
40000	0.00998178	5
50000	0.0123002	5
60000	0.0150282	5
70000	0.0198726	5
80000	0.0189412	5
90000	0.0212306	5
100000	0.0262226	5
200000	0.0577524	5
300000	0.0835922	5
400000	0.0995579	5
500000	0.114615	5
600000	0.152646	5
700000	0.107237	5
800000	0.0832448	5
900000	0.13672	5
1000000	0.249363	5
