n° elem	init time	n° rip
100	5.082e-06	100
200	1.2979e-05	99
300	1.4672e-05	98
400	1.6455e-05	97
500	2.523e-05	96
600	2.3133e-05	95
700	2.8091e-05	94
800	3.4032e-05	93
900	3.4042e-05	92
1000	4.869e-05	91
2000	7.9337e-05	90
3000	0.00015444	89
4000	0.000179029	88
5000	0.000189758	87
6000	0.000234786	86
7000	0.000265415	85
8000	0.000305161	84
9000	0.000349567	83
10000	0.000394525	82
20000	0.000759151	81
30000	0.00115838	80
40000	0.0013263	79
50000	0.00107339	78
60000	0.00104761	77
70000	0.00123866	76
80000	0.00147815	75
90000	0.00179012	74
100000	0.00249629	73
110000	0.00207282	72
120000	0.00217242	71
130000	0.00594021	70
140000	0.00624123	69
150000	0.00619346	68
160000	0.00620106	67
170000	0.00716933	66
180000	0.00750956	65
190000	0.00782416	64
200000	0.00366305	63
210000	0.00426708	62
220000	0.00443856	61
230000	0.00698464	60
240000	0.00927292	59
250000	0.0102829	58
260000	0.0101407	57
270000	0.0111356	56
280000	0.0110142	55
290000	0.0111068	54
300000	0.0076641	53
310000	0.00557428	52
320000	0.00572489	51
330000	0.00689158	50
340000	0.0138043	49
350000	0.0138747	48
360000	0.0139209	47
370000	0.0155093	46
380000	0.0152088	45
390000	0.0144716	44
400000	0.00724606	43
410000	0.00775294	42
420000	0.00754531	41
430000	0.017771	40
440000	0.0172428	39
450000	0.0193611	38
460000	0.0181029	37
470000	0.012157	36
480000	0.00907334	35
490000	0.00869987	34
500000	0.0120246	33
510000	0.021331	32
520000	0.0216587	31
530000	0.0208687	30
540000	0.022103	29
550000	0.0148175	28
560000	0.0104033	27
570000	0.0104543	26
580000	0.0103343	25
590000	0.0221832	24
600000	0.0239927	23
610000	0.0247171	22
620000	0.0238181	21
630000	0.0242203	20
640000	0.024123	19
650000	0.0115848	18
660000	0.0119886	17
670000	0.0122599	16
680000	0.0124624	15
690000	0.0123658	14
700000	0.0245611	13
710000	0.0286558	12
720000	0.0279357	11
730000	0.0302743	10
740000	0.0323161	9
750000	0.0290467	8
760000	0.0317363	7
770000	0.0299905	6
780000	0.0306619	5
790000	0.0298619	4
800000	0.0345303	3
810000	0.0309721	2
820000	0.0308364	2
830000	0.0309879	2
840000	0.0380404	2
850000	0.03215	2
860000	0.0321862	2
870000	0.0354862	2
880000	0.0379029	2
890000	0.0335632	2
900000	0.0339633	2
910000	0.0400564	2
920000	0.0478898	2
930000	0.0353521	2
940000	0.0380326	2
950000	0.0432555	2
960000	0.0409545	2
970000	0.0370342	2
980000	0.0366714	2
990000	0.038407	2
1000000	0.0426885	2
