n° elem	exec time	std	n° rip
100	1.29754e-05	9.42658e-07	150
200	2.76801e-05	2.32944e-06	143
300	4.28751e-05	1.2351e-06	136
400	5.60898e-05	1.46813e-06	129
500	7.49574e-05	2.4533e-06	122
600	9.19581e-05	2.70303e-06	115
700	0.000113693	4.00632e-06	108
800	0.000126248	2.5401e-06	101
900	0.000140361	4.37621e-06	94
1000	0.000158478	3.7081e-06	87
2000	0.000343008	4.54774e-06	80
3000	0.000539818	3.86407e-06	73
4000	0.000727912	5.90449e-06	66
5000	0.000930383	1.62241e-05	59
6000	0.00112713	1.142e-05	52
7000	0.00132141	2.22377e-05	45
8000	0.00150819	2.29858e-05	38
9000	0.00178532	3.05154e-05	31
10000	0.00197721	2.84308e-05	24
20000	0.00412535	3.37277e-05	17
30000	0.00619617	8.57426e-05	10
40000	0.00843807	0.000183797	5
50000	0.0107114	0.000151775	5
60000	0.0126719	0.000191954	5
70000	0.0155015	0.000224766	5
80000	0.0176423	0.000232011	5
90000	0.0199045	0.000222633	5
100000	0.0221312	0.000349952	5
200000	0.0464953	0.00102717	5
300000	0.0720335	0.000603408	5
400000	0.0972335	0.000761188	5
500000	0.123598	0.00148413	5
600000	0.153547	0.00141799	5
700000	0.180411	0.00215603	5
800000	0.206968	0.00208005	5
900000	0.238069	0.00779946	5
1000000	0.261577	0.00276286	5
2000000	0.564044	0.003814	5
3000000	0.940045	0.00903247	5
4000000	1.28092	0.00783886	5
5000000	1.66654	0.0231051	5
