n° elem	init time	n° rip
100	9.993e-06	100
200	1.6097e-05	99
300	1.3503e-05	98
400	1.0202e-05	97
500	1.0578e-05	96
600	1.1882e-05	95
700	1.3158e-05	94
800	1.5223e-05	93
900	1.9922e-05	92
1000	1.9258e-05	91
2000	3.8978e-05	90
3000	5.2719e-05	89
4000	6.9003e-05	88
5000	8.8901e-05	87
6000	0.000102953	86
7000	0.000119304	85
8000	0.00013543	84
9000	0.000147078	83
10000	0.000163653	82
20000	0.000334198	81
30000	0.000489698	80
40000	0.00065906	79
50000	0.000818464	78
60000	0.00100468	77
70000	0.00115912	76
80000	0.00133285	75
90000	0.0014903	74
100000	0.00164902	73
110000	0.00180784	72
120000	0.00196407	71
130000	0.00246294	70
140000	0.00233685	69
150000	0.0025178	68
160000	0.00281889	67
170000	0.00298527	66
180000	0.002988	65
190000	0.00318671	64
200000	0.00533327	63
210000	0.00840568	62
220000	0.00880677	61
230000	0.00885463	60
240000	0.00949058	59
250000	0.00562548	58
260000	0.00425026	57
270000	0.00439381	56
280000	0.00474727	55
290000	0.0048374	54
300000	0.00500044	53
310000	0.0108343	52
320000	0.011319	51
330000	0.00584049	50
340000	0.00596934	49
350000	0.00589186	48
360000	0.00603588	47
370000	0.00627867	46
380000	0.00641118	45
390000	0.00990693	44
400000	0.0172106	43
410000	0.0164664	42
420000	0.0126295	41
430000	0.0076997	40
440000	0.00750376	39
450000	0.0074703	38
460000	0.00766456	37
470000	0.00788614	36
480000	0.0083852	35
490000	0.0144602	34
500000	0.0190041	33
510000	0.0191054	32
520000	0.016668	31
530000	0.00879669	30
540000	0.00922001	29
550000	0.00947661	28
560000	0.00943257	27
570000	0.00983082	26
580000	0.00994354	25
590000	0.0100788	24
600000	0.0147001	23
610000	0.0231702	22
620000	0.0265536	21
630000	0.0280283	20
640000	0.0171353	19
650000	0.0113717	18
660000	0.0112332	17
670000	0.0113615	16
680000	0.0118653	15
690000	0.0123504	14
700000	0.0125595	13
710000	0.0140767	12
720000	0.0137568	11
730000	0.0148441	10
740000	0.0163359	9
750000	0.0134726	8
760000	0.0188306	7
770000	0.0324814	6
780000	0.0361488	5
790000	0.0356443	4
800000	0.0335517	3
810000	0.033341	2
820000	0.0316709	2
830000	0.0334848	2
840000	0.0389029	2
850000	0.0407916	2
860000	0.0367588	2
870000	0.0438627	2
880000	0.0393657	2
890000	0.0376626	2
900000	0.0404433	2
910000	0.0469723	2
920000	0.0456809	2
930000	0.0445415	2
940000	0.0415185	2
950000	0.0423425	2
960000	0.0525012	2
970000	0.033688	2
980000	0.0213771	2
990000	0.0222308	2
1000000	0.0210404	2
