n° elem	init time	n° rip
100	4.088e-06	150
200	5.334e-06	143
300	5.835e-06	136
400	8.056e-06	129
500	7.874e-06	122
600	8.644e-06	115
700	1.0592e-05	108
800	1.3075e-05	101
900	1.1982e-05	94
1000	1.4637e-05	87
2000	2.3498e-05	80
3000	3.3795e-05	73
4000	4.718e-05	66
5000	5.4023e-05	59
6000	7.1101e-05	52
7000	7.7044e-05	45
8000	8.8205e-05	38
9000	9.5603e-05	31
10000	0.000111875	24
20000	0.0002473	17
30000	0.00037547	10
40000	0.0005138	5
50000	0.00059938	5
60000	0.00076106	5
70000	0.00089526	5
80000	0.00095374	5
90000	0.00101254	5
100000	0.00125782	5
125000	0.0014606	5
150000	0.0018124	5
175000	0.00202898	5
200000	0.00229404	5
225000	0.00258116	5
250000	0.00287354	5
275000	0.00312472	5
300000	0.00341614	5
325000	0.0037194	5
350000	0.00415526	5
375000	0.00437328	5
400000	0.00458796	5
425000	0.00485234	5
450000	0.00523872	5
475000	0.00545606	5
500000	0.00574184	5
550000	0.00648096	5
600000	0.0068778	5
650000	0.0073031	5
700000	0.00776954	5
750000	0.00838566	5
800000	0.00896064	5
850000	0.0094782	5
900000	0.00990758	5
950000	0.0107211	5
1000000	0.0112925	5
1250000	0.0135767	5
1500000	0.0160355	5
1750000	0.0187055	5
2000000	0.0212833	5
2250000	0.0236996	5
2500000	0.0267212	5
2750000	0.0291272	5
3000000	0.0315981	5
3250000	0.0342491	5
3500000	0.0367531	5
3750000	0.0395374	5
4000000	0.0421046	5
4250000	0.0443232	5
4500000	0.0469059	5
4750000	0.0497014	5
5000000	0.0521849	5
