n° elem	exec time	std	n° rip
100	3.48105e-06	8.87468e-07	150
200	7.5966e-06	7.22077e-07	143
300	1.28769e-05	9.13299e-07	136
400	1.2611e-05	1.19953e-06	129
500	1.71259e-05	7.0678e-07	122
600	1.82883e-05	1.82747e-06	115
700	3.14952e-05	1.38996e-06	108
800	2.55033e-05	1.33538e-06	101
900	3.7184e-05	1.4936e-06	94
1000	3.90953e-05	2.09076e-06	87
2000	8.82416e-05	5.94813e-06	80
3000	0.000138428	2.99296e-06	73
4000	0.000180865	3.59268e-06	66
5000	0.000228861	3.26448e-06	59
6000	0.00029349	5.42241e-06	52
7000	0.00033933	6.38819e-06	45
8000	0.00036856	9.83287e-06	38
9000	0.000433578	6.0983e-06	31
10000	0.00047252	7.74183e-06	24
20000	0.000962068	9.24367e-05	17
30000	0.00153718	9.80766e-05	10
40000	0.00182768	2.9749e-05	5
50000	0.00214971	5.0644e-05	5
60000	0.00261818	6.55141e-05	5
70000	0.00311617	5.40151e-05	5
80000	0.00348169	7.86257e-05	5
90000	0.00389014	6.83784e-05	5
100000	0.00434946	0.000168395	5
125000	0.00537842	5.41094e-05	5
150000	0.00651065	0.000101771	5
175000	0.00768673	8.34402e-05	5
200000	0.00892596	9.675e-05	5
225000	0.00997081	0.000365779	5
250000	0.0110215	6.68365e-05	5
275000	0.0116572	0.000122163	5
300000	0.0128629	0.000136524	5
325000	0.0141213	0.000101781	5
350000	0.0150573	0.000218284	5
375000	0.0162322	0.00015025	5
400000	0.017631	0.000220424	5
425000	0.0185656	0.000165388	5
450000	0.0194847	0.000179203	5
475000	0.0208312	0.000460539	5
500000	0.0217414	0.000261088	5
550000	0.0250932	0.00165482	5
600000	0.0287575	0.00154434	5
650000	0.028117	0.000317311	5
700000	0.0302978	0.000249865	5
750000	0.0330465	0.000211499	5
800000	0.0347652	0.000563504	5
850000	0.0373824	0.000174138	5
900000	0.0390741	0.000485112	5
950000	0.0412174	0.000544004	5
1000000	0.0444379	0.00304492	5
1250000	0.0542535	0.000617131	5
1500000	0.0655198	0.000543169	5
1750000	0.0808344	0.00519302	5
2000000	0.0883295	0.00176672	5
2250000	0.0987376	0.000948691	5
2500000	0.109707	0.00108158	5
2750000	0.120302	0.00106679	5
3000000	0.135227	0.00714988	5
3250000	0.143321	0.00335815	5
3500000	0.153892	0.00132817	5
3750000	0.167917	0.007692	5
4000000	0.174456	0.00159926	5
4250000	0.186696	0.0014126	5
4500000	0.202101	0.00877671	5
4750000	0.210271	0.00349558	5
5000000	0.233843	0.00788502	5
