n° elem	exec time	std	n° rip
100	9.8874e-06	6.56075e-07	200
200	2.20598e-05	7.91573e-07	193
300	3.25087e-05	4.71802e-07	186
400	4.81796e-05	2.76885e-06	179
500	5.83782e-05	1.11857e-06	172
600	7.02065e-05	2.3447e-06	165
700	8.87977e-05	1.66233e-06	158
800	0.000101234	2.85575e-06	151
900	0.00011656	5.05274e-06	144
1000	0.000129588	5.32974e-06	137
2000	0.000272093	2.96395e-06	130
3000	0.000434577	3.8387e-06	123
4000	0.000578389	6.80195e-06	116
5000	0.000728937	6.82278e-06	109
6000	0.000915603	9.20065e-06	102
7000	0.00106994	8.13776e-06	95
8000	0.00123086	6.9375e-06	88
9000	0.00138554	1.19684e-05	81
10000	0.0015679	1.81445e-05	74
20000	0.0032557	1.97372e-05	67
30000	0.00505331	4.41062e-05	60
40000	0.00673984	6.21118e-05	53
50000	0.00872805	4.66515e-05	46
60000	0.0104853	0.000141405	39
70000	0.0122635	7.3761e-05	32
80000	0.014032	8.75057e-05	25
90000	0.0161697	7.20147e-05	18
100000	0.0180089	0.000132985	11
125000	0.0223992	0.000158944	5
150000	0.0269544	0.000224528	5
175000	0.0327348	0.000298183	5
200000	0.0376624	0.000552374	5
225000	0.0423431	0.000294081	5
250000	0.0467677	0.000394402	5
275000	0.051935	0.000657093	5
300000	0.0570347	0.000920764	5
325000	0.061436	0.000446778	5
350000	0.0682662	0.000664352	5
375000	0.0734579	0.00061731	5
400000	0.0783204	0.000640986	5
425000	0.0831672	0.000547211	5
450000	0.0886857	0.000846685	5
475000	0.0942053	0.00106359	5
500000	0.0989636	0.000795649	5
550000	0.109298	0.000559249	5
600000	0.119295	0.000881043	5
650000	0.130918	0.00107233	5
700000	0.145219	0.00244653	5
750000	0.154311	0.00107945	5
800000	0.164818	0.000932875	5
850000	0.177005	0.00125369	5
900000	0.18748	0.0012719	5
950000	0.197869	0.000703246	5
1000000	0.209229	0.00169624	5
1250000	0.264395	0.00139871	5
1500000	0.328199	0.00184717	5
1750000	0.386346	0.00252469	5
2000000	0.446398	0.00224201	5
2250000	0.505011	0.003249	5
2500000	0.571474	0.013465	5
2750000	0.653451	0.00397653	5
3000000	0.751697	0.00442304	5
3250000	0.818237	0.00468469	5
3500000	0.885607	0.00565916	5
3750000	0.952186	0.00451228	5
4000000	1.01955	0.00540626	5
4250000	1.09364	0.0287836	5
4500000	1.15514	0.00623664	5
4750000	1.23068	0.00602978	5
5000000	1.29806	0.00600695	5
