n° elem	exec time	std	n° rip
100	1.7923e-06	9.78763e-07	200
200	4.49575e-06	1.20693e-06	197
300	7.41595e-06	1.5236e-06	194
400	5.37775e-06	1.22782e-06	191
500	5.78635e-06	1.19806e-06	188
600	1.10616e-05	1.50599e-06	185
700	7.1085e-06	1.70841e-06	182
800	8.4169e-06	2.11467e-06	179
900	1.47495e-06	1.89171e-06	176
1000	2.23171e-05	2.39393e-06	173
2000	3.88166e-05	2.46105e-06	170
3000	3.35571e-05	5.35218e-06	167
4000	9.09083e-05	3.04671e-05	164
5000	0.000170565	1.26172e-05	161
6000	0.00013464	1.09718e-05	158
7000	0.000114739	2.93724e-05	155
8000	0.000165518	2.40719e-05	152
9000	5.99433e-05	3.75241e-05	149
10000	0.000192905	1.67394e-05	146
20000	0.000475031	0.00016759	143
30000	0.000504999	0.000238187	140
40000	0.00097655	0.000180447	137
50000	0.000998757	0.00032014	134
60000	0.00141426	0.000269321	131
70000	0.00148625	0.000340632	128
80000	0.00160983	0.000256203	125
90000	0.00162721	0.000372164	122
100000	0.00178032	0.000699123	119
125000	0.00254718	0.000459474	116
150000	0.00361789	0.000889808	113
175000	0.00364289	0.000774673	110
200000	0.00477542	0.000610791	107
225000	0.00490288	0.00125271	104
250000	0.0055112	0.0013858	101
275000	0.00586141	0.00107118	98
300000	0.00613396	0.00166541	95
325000	0.00647735	0.00150719	92
350000	0.007538	0.0010984	89
375000	0.00860253	0.00132646	86
400000	0.00963456	0.00190093	83
425000	0.0093197	0.00214179	80
450000	0.00973025	0.0030353	77
475000	0.0100265	0.00253918	74
500000	0.0112122	0.00150971	71
550000	0.0115049	0.00234631	68
600000	0.0125004	0.00308729	65
650000	0.0146618	0.00306849	62
700000	0.0167891	0.00250744	59
750000	0.0165144	0.00350076	56
800000	0.0157916	0.00267048	53
850000	0.0180398	0.00427851	50
900000	0.019992	0.00408331	47
950000	0.0212625	0.00353484	44
1000000	0.0190997	0.00531365	41
1250000	0.0266045	0.00448648	38
1500000	0.0310296	0.00760206	35
1750000	0.0363531	0.00841538	32
2000000	0.0422401	0.00909278	29
2250000	0.0469396	0.00857965	26
2500000	0.0482352	0.00962253	23
2750000	0.054086	0.00991343	20
3000000	0.0567354	0.0120149	17
3250000	0.0632486	0.0150523	14
3500000	0.0684608	0.0144824	11
3750000	0.0674185	0.0197388	10
4000000	0.075662	0.0182469	10
4250000	0.0840507	0.0138765	10
4500000	0.0893814	0.0143986	10
4750000	0.0935045	0.0168522	10
5000000	0.096904	0.0248734	10
