n° elem	init time	n° rip
100	3.44e-06	200
200	4.477e-06	197
300	5.608e-06	194
400	6.864e-06	191
500	8.14e-06	188
600	9.85e-06	185
700	1.1618e-05	182
800	1.2817e-05	179
900	2.0028e-05	176
1000	1.6524e-05	173
2000	2.9324e-05	170
3000	4.2576e-05	167
4000	5.9648e-05	164
5000	6.4314e-05	161
6000	8.9477e-05	158
7000	0.000110824	155
8000	0.000101596	152
9000	0.000113421	149
10000	0.000129421	146
20000	0.000248579	143
30000	0.00036165	140
40000	0.000471282	137
50000	0.00057468	134
60000	0.000684769	131
70000	0.000790205	128
80000	0.000906579	125
90000	0.00102134	122
100000	0.0011305	119
125000	0.00140264	116
150000	0.00166385	113
175000	0.00193266	110
200000	0.00219951	107
225000	0.00248548	104
250000	0.00276618	101
275000	0.00302754	98
300000	0.00331061	95
325000	0.00359714	92
350000	0.00386659	89
375000	0.00411886	86
400000	0.00442069	83
425000	0.00470612	80
450000	0.0051442	77
475000	0.00528151	74
500000	0.00559692	71
550000	0.00609053	68
600000	0.00666812	65
650000	0.00723998	62
700000	0.00772838	59
750000	0.0083221	56
800000	0.00893644	53
850000	0.00946368	50
900000	0.0100638	47
950000	0.0106798	44
1000000	0.0112382	41
1250000	0.0141111	38
1500000	0.0169319	35
1750000	0.0197346	32
2000000	0.0225148	29
2250000	0.0257164	26
2500000	0.028737	23
2750000	0.0319998	20
3000000	0.0355896	17
3250000	0.0391284	14
3500000	0.0433872	11
3750000	0.0472255	10
4000000	0.0503789	10
4250000	0.0536359	10
4500000	0.0572528	10
4750000	0.0600255	10
5000000	0.0632109	10
