n° elem	exec time	std	n° rip
100	8.108e-07	4.97391e-07	200
200	3.05965e-06	5.84209e-07	193
300	3.84085e-06	4.64318e-07	186
400	3.7659e-06	4.84851e-07	179
500	9.28345e-06	9.98077e-07	172
600	7.28835e-06	1.3682e-06	165
700	4.7886e-06	8.63499e-07	158
800	2.50852e-05	1.6119e-06	151
900	1.24971e-05	1.62101e-06	144
1000	2.20405e-05	9.16483e-07	137
2000	4.17592e-05	4.99632e-06	130
3000	6.46094e-05	2.46132e-06	123
4000	8.7398e-05	7.96075e-06	116
5000	0.000115644	3.43807e-05	109
6000	9.0465e-05	2.35486e-06	102
7000	8.77479e-05	1.09162e-05	95
8000	0.00013755	1.40022e-05	88
9000	0.000135545	5.49464e-06	81
10000	0.000236313	1.99927e-05	74
20000	0.000490625	2.51205e-05	67
30000	0.000564548	6.59893e-05	60
40000	0.000684865	4.35683e-05	53
50000	0.00124398	0.000459264	46
60000	0.00135949	0.0001385	39
70000	0.00145099	0.000332208	32
80000	0.0017156	0.000121891	25
90000	0.00197642	0.00015285	18
100000	0.00250273	0.000237731	11
125000	0.00360723	0.000115362	5
150000	0.00207988	0.000361864	5
175000	0.0029797	0.000196318	5
200000	0.00346243	6.25523e-05	5
225000	0.0037284	0.00032188	5
250000	0.00365319	0.000136332	5
275000	0.00398163	0.000830638	5
300000	0.00171736	0.000708496	5
325000	0.00637431	0.00101989	5
350000	0.00742136	0.00125075	5
375000	0.0073467	0.000771382	5
400000	0.00867893	0.00194753	5
425000	0.00407236	0.00523658	5
450000	0.00708479	0.00167176	5
475000	0.00550259	0.00249071	5
500000	0.0123328	0.00449163	5
550000	0.00830062	0.00450366	5
600000	0.0113719	0.00228626	5
650000	0.00991244	0.00158447	5
700000	0.0140592	0.00504408	5
750000	0.00706889	0.00261009	5
800000	0.0161786	0.00345332	5
850000	0.0134512	0.00365263	5
900000	0.00897555	0.00466819	5
950000	0.0161984	0.00290028	5
1000000	0.0101198	0.00689205	5
1250000	0.0136985	0.00618868	5
1500000	0.0297091	0.00510388	5
1750000	0.0359213	0.0096024	5
2000000	0.0263287	0.0147635	5
2250000	0.0382536	0.0165057	5
2500000	0.0389046	0.0144742	5
2750000	0.0538114	0.01411	5
3000000	0.0592011	0.0142127	5
3250000	0.0476579	0.0163738	5
3500000	0.0630008	0.0200175	5
3750000	0.0620341	0.0284807	5
4000000	0.0654904	0.0167968	5
4250000	0.0847603	0.0195938	5
4500000	0.0734731	0.0240563	5
4750000	0.0865567	0.0273171	5
5000000	0.0783818	0.035374	5
