n° elem	init time	n° rip
100	4.329e-06	200
200	4.924e-06	193
300	5.834e-06	186
400	7.404e-06	179
500	8.158e-06	172
600	9.146e-06	165
700	1.2813e-05	158
800	1.13e-05	151
900	1.2901e-05	144
1000	1.3897e-05	137
2000	2.807e-05	130
3000	4.0411e-05	123
4000	4.7243e-05	116
5000	5.846e-05	109
6000	6.8175e-05	102
7000	8.0729e-05	95
8000	9.4276e-05	88
9000	0.000100609	81
10000	0.000119864	74
20000	0.000222964	67
30000	0.000330173	60
40000	0.000518056	53
50000	0.000548604	46
60000	0.000686697	39
70000	0.000788056	32
80000	0.000948868	25
90000	0.00104763	18
100000	0.00124512	11
125000	0.0017214	5
150000	0.00219322	5
175000	0.00257592	5
200000	0.00291352	5
225000	0.00323754	5
250000	0.0036628	5
275000	0.0040022	5
300000	0.00443768	5
325000	0.00465088	5
350000	0.00501466	5
375000	0.0053652	5
400000	0.00588164	5
425000	0.0060641	5
450000	0.00659908	5
475000	0.00690514	5
500000	0.007234	5
550000	0.008002	5
600000	0.00846562	5
650000	0.00925416	5
700000	0.00992858	5
750000	0.0107548	5
800000	0.0113639	5
850000	0.0120095	5
900000	0.0127219	5
950000	0.0134208	5
1000000	0.0140907	5
1250000	0.0171462	5
1500000	0.0205002	5
1750000	0.024723	5
2000000	0.027635	5
2250000	0.0318657	5
2500000	0.0354674	5
2750000	0.0395974	5
3000000	0.0406092	5
3250000	0.044168	5
3500000	0.0477117	5
3750000	0.0508166	5
4000000	0.0542498	5
4250000	0.057841	5
4500000	0.0609922	5
4750000	0.0644889	5
5000000	0.0673408	5
