n° elem	exec time	std	n° rip
100	4.49305e-06	1.00853e-06	200
200	6.9865e-06	1.60465e-06	193
300	9.8952e-06	1.45683e-06	186
400	1.01479e-05	1.68756e-06	179
500	1.41351e-05	1.47512e-06	172
600	2.06183e-05	1.96067e-06	165
700	2.4823e-05	3.65936e-06	158
800	2.15207e-05	2.46097e-06	151
900	3.09509e-05	2.94503e-06	144
1000	4.0466e-05	2.9769e-06	137
2000	9.09713e-05	7.72323e-06	130
3000	0.000148203	2.05233e-05	123
4000	0.000199451	9.0658e-06	116
5000	0.000231788	8.99195e-06	109
6000	0.000276451	7.09272e-06	102
7000	0.000334238	9.1834e-06	95
8000	0.000383813	1.11313e-05	88
9000	0.000429342	1.28789e-05	81
10000	0.000482106	1.4804e-05	74
20000	0.000993975	2.84952e-05	67
30000	0.00147622	4.97904e-05	60
40000	0.00199421	6.34846e-05	53
50000	0.00238537	4.18609e-05	46
60000	0.0028673	6.74489e-05	39
70000	0.00325283	6.21404e-05	32
80000	0.00376773	8.91191e-05	25
90000	0.00418064	9.13643e-05	18
100000	0.00459349	9.26105e-05	11
125000	0.0054162	0.000175209	5
150000	0.0065289	0.000193685	5
175000	0.00770442	0.000207878	5
200000	0.00883085	0.000256426	5
225000	0.00995695	0.000225253	5
250000	0.0109495	0.000226569	5
275000	0.0121777	0.000813932	5
300000	0.0131153	0.00022109	5
325000	0.0141227	0.000384234	5
350000	0.0153985	0.000340381	5
375000	0.0166037	0.000264274	5
400000	0.0175449	0.00042206	5
425000	0.0202952	0.00132034	5
450000	0.0214821	0.00161117	5
475000	0.0209388	0.000379415	5
500000	0.0223986	0.000395416	5
550000	0.0246723	0.000323138	5
600000	0.0270346	0.000546921	5
650000	0.0292076	0.000599415	5
700000	0.0312724	0.000407478	5
750000	0.0335154	0.000641458	5
800000	0.0355593	0.000473033	5
850000	0.0379186	0.000614958	5
900000	0.0403231	0.000578183	5
950000	0.0428785	0.00251013	5
1000000	0.0443195	0.000306104	5
1250000	0.0557497	0.000595841	5
1500000	0.0696462	0.00291217	5
1750000	0.07781	0.000846581	5
2000000	0.0904972	0.00104593	5
2250000	0.101449	0.00136756	5
2500000	0.112196	0.00169559	5
2750000	0.127636	0.00438802	5
3000000	0.135162	0.00160972	5
3250000	0.146745	0.00197192	5
3500000	0.15868	0.00402703	5
3750000	0.171036	0.00460404	5
4000000	0.180308	0.00143191	5
4250000	0.196149	0.00711568	5
4500000	0.20273	0.00185891	5
4750000	0.215156	0.00320129	5
5000000	0.236497	0.00627079	5
