n° elem	exec time	std	n° rip
100	1.1589e-05	8.34593e-07	150
200	2.59e-05	1.6737e-06	143
300	4.1409e-05	2.37924e-06	136
400	5.5221e-05	2.09887e-06	129
500	7.11111e-05	1.96683e-06	122
600	9.04307e-05	3.63223e-06	115
700	0.000105045	3.23063e-06	108
800	0.000120314	3.11307e-06	101
900	0.000136795	2.41131e-06	94
1000	0.000153308	4.41032e-06	87
2000	0.000331127	5.63987e-06	80
3000	0.000521622	7.02816e-06	73
4000	0.000700097	7.85673e-06	66
5000	0.000965822	6.86827e-05	59
6000	0.00110729	2.79453e-05	52
7000	0.0012899	1.22916e-05	45
8000	0.00147658	2.0497e-05	38
9000	0.00176917	0.000128683	31
10000	0.00191241	1.20412e-05	24
20000	0.00398642	4.17764e-05	17
30000	0.0060925	0.000131336	10
40000	0.00835022	9.55974e-05	5
50000	0.0104567	0.000139739	5
60000	0.0125983	0.000109953	5
70000	0.0151882	0.000146508	5
80000	0.0175424	0.000292983	5
90000	0.0196842	0.00013401	5
100000	0.0252303	0.0021019	5
125000	0.0319278	0.00238325	5
150000	0.0341758	0.000302944	5
175000	0.040028	0.000208995	5
200000	0.04594	0.000252166	5
225000	0.0519976	0.000384343	5
250000	0.0610035	0.0069679	5
275000	0.0643108	0.00078325	5
300000	0.0718667	0.000233765	5
325000	0.0778668	0.000567965	5
350000	0.0837397	0.000441324	5
375000	0.0975479	0.00789052	5
400000	0.0973262	0.000666199	5
425000	0.102872	0.000432369	5
450000	0.10948	0.000634248	5
475000	0.116013	0.000723553	5
500000	0.122211	0.000598972	5
550000	0.142727	0.011163	5
600000	0.150983	0.000664271	5
650000	0.165045	0.00126387	5
700000	0.177594	0.000499614	5
750000	0.198941	0.0154516	5
800000	0.204001	0.000680437	5
850000	0.21891	0.00169747	5
900000	0.263011	0.0161643	5
950000	0.272359	0.0180944	5
1000000	0.275087	0.0185032	5
1250000	0.334885	0.00124425	5
1500000	0.415004	0.0244723	5
1750000	0.485222	0.0220198	5
2000000	0.559789	0.0243869	5
2250000	0.652741	0.0269902	5
2500000	0.731146	0.0258344	5
2750000	0.813617	0.0252592	5
3000000	0.91113	0.0482342	5
3250000	0.96953	0.0433278	5
3500000	1.06662	0.0345279	5
3750000	1.12746	0.0332534	5
4000000	1.22537	0.0390571	5
4250000	1.30332	0.0345803	5
4500000	1.43147	0.0618094	5
4750000	1.50325	0.0532429	5
5000000	1.57301	0.0435693	5
