n° elem	init time	n° rip
100	4.174e-06	150
200	4.816e-06	143
300	6.479e-06	136
400	6.882e-06	129
500	8.342e-06	122
600	9.212e-06	115
700	1.2004e-05	108
800	1.184e-05	101
900	1.1778e-05	94
1000	1.3122e-05	87
2000	2.5753e-05	80
3000	3.7736e-05	73
4000	4.3437e-05	66
5000	5.4196e-05	59
6000	7.1071e-05	52
7000	7.5626e-05	45
8000	8.6878e-05	38
9000	9.4164e-05	31
10000	0.000105566	24
20000	0.000230364	17
30000	0.00032426	10
40000	0.0005582	5
50000	0.00068476	5
60000	0.00091784	5
70000	0.0010418	5
80000	0.00116568	5
90000	0.00143674	5
100000	0.00140282	5
200000	0.00289184	5
300000	0.00441944	5
400000	0.00593142	5
500000	0.00725334	5
600000	0.00867438	5
700000	0.0101262	5
800000	0.0115044	5
900000	0.0128779	5
1000000	0.0142068	5
2000000	0.0280452	5
3000000	0.0426262	5
4000000	0.0564605	5
5000000	0.0707126	5
