n° elem	exec time	std	n° rip
100	2.7973e-06	7.69136e-07	150
200	5.34485e-06	1.00015e-06	143
300	9.18605e-06	3.01547e-06	136
400	6.44995e-06	1.76409e-06	129
500	1.83236e-05	1.75131e-06	122
600	1.96622e-05	2.35233e-06	115
700	2.6419e-05	3.29621e-06	108
800	2.16162e-05	2.42144e-06	101
900	3.63516e-05	2.49533e-06	94
1000	3.89198e-05	3.06375e-06	87
2000	8.83185e-05	5.4807e-06	80
3000	0.000136811	5.2004e-06	73
4000	0.000194037	3.85485e-06	66
5000	0.000244913	7.19282e-06	59
6000	0.000279906	6.75715e-06	52
7000	0.000330964	7.9087e-06	45
8000	0.000379608	1.95749e-05	38
9000	0.000425893	1.12012e-05	31
10000	0.000490082	1.27319e-05	24
20000	0.000954417	4.03122e-05	17
30000	0.00139457	0.000130252	10
40000	0.00189427	5.48427e-05	5
50000	0.00231397	6.33802e-05	5
60000	0.00274404	7.73102e-05	5
70000	0.00325808	4.74459e-05	5
80000	0.00373303	9.19354e-05	5
90000	0.00439384	6.07686e-05	5
100000	0.00463167	0.000136958	5
125000	0.00581303	0.00015718	5
150000	0.0069643	9.36445e-05	5
175000	0.00860626	0.00106412	5
200000	0.0114994	0.00150398	5
225000	0.0127003	0.0016261	5
250000	0.0138925	0.00187921	5
275000	0.0133286	0.00131702	5
300000	0.0141918	0.000151671	5
325000	0.0158807	0.000352391	5
350000	0.0162677	0.000135607	5
375000	0.0175248	0.000164037	5
400000	0.0187596	0.000212695	5
425000	0.0200739	0.000210824	5
450000	0.0221851	0.00275865	5
475000	0.0226043	0.000457312	5
500000	0.0236402	0.000251213	5
550000	0.0257125	0.000396869	5
600000	0.028411	0.000309206	5
650000	0.031512	0.00094698	5
700000	0.033288	0.000370407	5
750000	0.0356117	0.000337133	5
800000	0.038448	0.000966886	5
850000	0.0411666	0.00177381	5
900000	0.0430869	0.000360471	5
950000	0.0480878	0.00400671	5
1000000	0.0512651	0.00465219	5
1250000	0.0598068	0.000317779	5
1500000	0.0722708	0.000493542	5
1750000	0.083839	0.000465625	5
2000000	0.0960634	0.000546981	5
2250000	0.108646	0.000617654	5
2500000	0.127473	0.0114352	5
2750000	0.132557	0.000976286	5
3000000	0.14476	0.000818319	5
3250000	0.156577	0.000918475	5
3500000	0.176184	0.0141311	5
3750000	0.180741	0.00134238	5
4000000	0.193056	0.000953882	5
4250000	0.212281	0.0151255	5
4500000	0.216976	0.000990282	5
4750000	0.236558	0.0150862	5
5000000	0.242035	0.00140926	5
