n° elem	exec time	std	n° rip
100	1.79245e-06	6.24544e-07	150
200	3.33315e-06	5.20286e-07	143
300	6.58115e-06	7.40494e-07	136
400	6.5545e-06	6.90352e-07	129
500	9.42365e-06	1.08686e-06	122
600	8.13985e-06	1.14458e-06	115
700	1.23922e-05	1.23221e-06	108
800	1.42408e-05	1.13421e-06	101
900	2.97554e-05	1.11484e-06	94
1000	1.59135e-05	5.52859e-06	87
2000	5.99553e-05	7.35276e-06	80
3000	7.12305e-05	1.69032e-06	73
4000	0.000103708	7.8587e-06	66
5000	0.000109892	2.19686e-05	59
6000	0.000138249	1.37566e-06	52
7000	0.000162213	6.15887e-06	45
8000	0.000170579	1.35765e-05	38
9000	0.000192563	4.20041e-06	31
10000	0.000283525	8.26924e-06	24
20000	0.000687793	1.17688e-05	17
30000	0.000955025	5.39187e-05	10
40000	0.000648864	0.000161304	5
50000	0.000924499	0.000136852	5
60000	0.00114892	6.53187e-05	5
70000	0.00124467	7.07539e-05	5
80000	0.00206897	8.19652e-05	5
90000	0.00160422	7.46513e-05	5
100000	0.0022765	1.73085e-05	5
125000	0.00250629	0.000259713	5
150000	0.00360122	0.000387077	5
175000	0.0028941	0.000100541	5
200000	0.00282147	0.000782825	5
225000	0.00279345	0.0010276	5
250000	0.00745896	0.00164248	5
275000	0.00664591	0.000862711	5
300000	0.00862298	0.00117673	5
325000	0.00988989	0.000924617	5
350000	0.005957	0.000792544	5
375000	0.00450665	0.00214196	5
400000	0.00976639	0.000905784	5
425000	0.00912929	0.00119637	5
450000	0.00954256	0.00183365	5
475000	0.00904572	0.00307406	5
500000	0.0106652	0.000826477	5
550000	0.011808	0.0016847	5
600000	0.0119953	0.00392673	5
650000	0.0121255	0.00290158	5
700000	0.0164647	0.00206975	5
750000	0.0130208	0.00211067	5
800000	0.0186166	0.00330452	5
850000	0.0192185	0.00363547	5
900000	0.017029	0.00275307	5
950000	0.0148351	0.00475183	5
1000000	0.0248018	0.00610388	5
1250000	0.0293281	0.00558869	5
1500000	0.0289994	0.00510568	5
1750000	0.0383454	0.00818338	5
2000000	0.0501076	0.00739867	5
2250000	0.0560722	0.0117539	5
2500000	0.0532887	0.0119414	5
2750000	0.0574541	0.0117187	5
3000000	0.0631119	0.0132126	5
3250000	0.0682944	0.0116341	5
3500000	0.0855388	0.0148172	5
3750000	0.0804262	0.0287668	5
4000000	0.0869872	0.0186079	5
4250000	0.0928997	0.017361	5
4500000	0.0961089	0.0207198	5
4750000	0.109787	0.0229549	5
5000000	0.118245	0.0172291	5
