n° elem	init time	n° rip
100	4.547e-06	200
200	4.719e-06	193
300	5.755e-06	186
400	6.626e-06	179
500	8.689e-06	172
600	1.0292e-05	165
700	9.896e-06	158
800	1.066e-05	151
900	1.2401e-05	144
1000	1.4038e-05	137
2000	2.289e-05	130
3000	3.2524e-05	123
4000	4.5292e-05	116
5000	5.3799e-05	109
6000	6.2737e-05	102
7000	7.5292e-05	95
8000	8.2673e-05	88
9000	9.5838e-05	81
10000	0.000102387	74
20000	0.00020897	67
30000	0.00031092	60
40000	0.000439754	53
50000	0.000545552	46
60000	0.00069233	39
70000	0.000799665	32
80000	0.000937724	25
90000	0.00101151	18
100000	0.00118232	11
125000	0.0017001	5
150000	0.00209878	5
175000	0.00240948	5
200000	0.00270266	5
225000	0.00309976	5
250000	0.00348504	5
275000	0.0037936	5
300000	0.00417184	5
325000	0.00443444	5
350000	0.00492632	5
375000	0.0051156	5
400000	0.00555434	5
425000	0.00587346	5
450000	0.00616942	5
475000	0.00653734	5
500000	0.00684128	5
550000	0.0074972	5
600000	0.00823142	5
650000	0.00890418	5
700000	0.00956396	5
750000	0.0102816	5
800000	0.0113404	5
850000	0.0115943	5
900000	0.0122714	5
950000	0.0129478	5
1000000	0.0136004	5
1250000	0.0170871	5
1500000	0.0202875	5
1750000	0.0235776	5
2000000	0.0270504	5
2250000	0.0307258	5
2500000	0.0340825	5
2750000	0.0368804	5
3000000	0.0407039	5
3250000	0.0434485	5
3500000	0.0472331	5
3750000	0.0508358	5
4000000	0.0536022	5
4250000	0.0573669	5
4500000	0.0608828	5
4750000	0.0642597	5
5000000	0.0677825	5
