n° elem	exec time	std	n° rip
100	1.17669e-05	6.70247e-07	150
200	2.48176e-05	9.47232e-07	143
300	4.12954e-05	1.09889e-06	136
400	5.47234e-05	1.02348e-06	129
500	6.93618e-05	1.75516e-06	122
600	8.47333e-05	1.61074e-06	115
700	0.000100361	2.23142e-06	108
800	0.000119367	2.05164e-06	101
900	0.000135666	1.82983e-06	94
1000	0.000151637	3.52683e-06	87
2000	0.000326877	4.37555e-06	80
3000	0.000512698	9.35288e-06	73
4000	0.000677671	5.01019e-06	66
5000	0.000883379	5.7266e-06	59
6000	0.00106916	5.84651e-06	52
7000	0.00125304	7.52046e-06	45
8000	0.00144539	8.23542e-06	38
9000	0.00167537	1.36142e-05	31
10000	0.00185972	2.19914e-05	24
20000	0.00392454	5.67152e-05	17
30000	0.00590514	3.5237e-05	10
40000	0.00807374	0.00010642	5
50000	0.0100072	7.5061e-05	5
60000	0.0120532	7.73963e-05	5
70000	0.0146805	0.000122305	5
80000	0.0167342	9.57586e-05	5
90000	0.0188337	0.000136104	5
100000	0.0210496	9.59442e-05	5
125000	0.0263878	0.000247206	5
150000	0.0327558	0.000198241	5
175000	0.0385046	0.000252334	5
200000	0.0439358	0.000227371	5
225000	0.0497717	0.00032917	5
250000	0.0555181	0.000336822	5
275000	0.0615771	0.00152543	5
300000	0.0716126	0.00370137	5
325000	0.0748412	0.00106483	5
350000	0.0808849	0.000509124	5
375000	0.0865928	0.000601014	5
400000	0.0927209	0.000266667	5
425000	0.0980931	0.000659296	5
450000	0.104695	0.00051228	5
475000	0.114897	0.00460359	5
500000	0.117514	0.000744168	5
550000	0.129809	0.00110354	5
600000	0.145116	0.000600541	5
650000	0.161897	0.00744618	5
700000	0.169752	0.000956267	5
750000	0.182829	0.00124525	5
800000	0.196788	0.00085047	5
850000	0.212539	0.00727882	5
900000	0.221564	0.000937825	5
950000	0.236441	0.00656324	5
1000000	0.250067	0.00671322	5
1250000	0.321313	0.00131277	5
1500000	0.394145	0.0112991	5
1750000	0.46231	0.0119051	5
2000000	0.53441	0.0112793	5
2250000	0.635307	0.0150745	5
2500000	0.705111	0.0148603	5
2750000	0.779743	0.0130909	5
3000000	0.89503	0.0141316	5
3250000	0.976388	0.0179613	5
3500000	1.06074	0.0244029	5
3750000	1.14269	0.0270855	5
4000000	1.22512	0.0242099	5
4250000	1.30475	0.0224994	5
4500000	1.40776	0.0243743	5
4750000	1.48806	0.0240997	5
5000000	1.58489	0.0272301	5
