n° elem	init time	n° rip
100	4.309e-06	150
200	4.991e-06	143
300	5.856e-06	136
400	6.872e-06	129
500	7.772e-06	122
600	1.1045e-05	115
700	1.1887e-05	108
800	1.0788e-05	101
900	1.212e-05	94
1000	1.3119e-05	87
2000	2.4421e-05	80
3000	3.682e-05	73
4000	4.4245e-05	66
5000	6.4342e-05	59
6000	6.3126e-05	52
7000	7.668e-05	45
8000	8.4086e-05	38
9000	9.4125e-05	31
10000	0.000120729	24
20000	0.00021687	17
30000	0.00033276	10
40000	0.00055122	5
50000	0.00075918	5
60000	0.00085712	5
70000	0.00095968	5
80000	0.00115716	5
90000	0.00125948	5
100000	0.00145138	5
125000	0.0018243	5
150000	0.00214934	5
175000	0.0024334	5
200000	0.00283878	5
225000	0.00317598	5
250000	0.00352346	5
275000	0.0042003	5
300000	0.00432726	5
325000	0.00466154	5
350000	0.00507438	5
375000	0.00537246	5
400000	0.00570816	5
425000	0.00617142	5
450000	0.00647072	5
475000	0.00679922	5
500000	0.00719986	5
550000	0.00799422	5
600000	0.00858024	5
650000	0.00926542	5
700000	0.0100268	5
750000	0.0105392	5
800000	0.0113707	5
850000	0.0120199	5
900000	0.01282	5
950000	0.0135017	5
1000000	0.0143663	5
1250000	0.0179953	5
1500000	0.021136	5
1750000	0.0248396	5
2000000	0.0282205	5
2250000	0.0314583	5
2500000	0.035334	5
2750000	0.0390783	5
3000000	0.0425081	5
3250000	0.0453513	5
3500000	0.0492066	5
3750000	0.053138	5
4000000	0.056718	5
4250000	0.0600603	5
4500000	0.0628492	5
4750000	0.0674019	5
5000000	0.069846	5
