n° elem	exec time	std	n° rip
100	2.2878e-06	6.53453e-07	150
200	4.7192e-06	9.2346e-07	143
300	6.6763e-06	7.50932e-07	136
400	7.7306e-06	9.36846e-07	129
500	7.73715e-06	1.27562e-06	122
600	1.45024e-05	8.13371e-07	115
700	1.55566e-05	9.86558e-07	108
800	1.50492e-05	1.05906e-06	101
900	1.96561e-05	1.71165e-06	94
1000	2.33256e-05	2.64526e-06	87
2000	3.06815e-05	6.31107e-06	80
3000	7.26932e-05	2.41722e-06	73
4000	9.96633e-05	8.97082e-06	66
5000	0.000116716	1.91945e-06	59
6000	0.000140076	4.76774e-06	52
7000	0.00018563	1.8344e-05	45
8000	0.00028298	1.93279e-05	38
9000	0.000246353	1.84241e-05	31
10000	0.000253852	1.13917e-05	24
20000	0.000444093	4.97562e-05	17
30000	0.000943818	7.03948e-05	10
40000	0.0011726	8.25174e-05	5
50000	0.00130851	0.000105657	5
60000	0.00118046	7.29961e-05	5
70000	0.00164931	0.000240802	5
80000	0.00221243	0.000216866	5
90000	0.00171178	0.000282972	5
100000	0.00150423	0.000455496	5
200000	0.00472476	0.000537968	5
300000	0.00819652	0.000802156	5
400000	0.0129158	0.00222556	5
500000	0.0123636	0.00108427	5
600000	0.0104507	0.00783494	5
700000	0.0135209	0.00226037	5
800000	0.0209778	0.00221542	5
900000	0.0192292	0.00224944	5
1000000	0.0197271	0.00408725	5
2000000	0.0442438	0.00638116	5
3000000	0.0639459	0.00975605	5
4000000	0.0873142	0.0228489	5
5000000	0.112843	0.028154	5
