n° elem	tot time	n° rip
100	1.7158e-05	100
200	2.2842e-05	99
300	2.9188e-05	98
400	4.8167e-05	97
500	5.415e-05	96
600	4.2092e-05	95
700	9.5125e-05	94
800	0.000102519	93
900	7.645e-05	92
1000	8.4062e-05	91
2000	0.000180715	90
3000	0.000284983	89
4000	0.000366262	88
5000	0.000239964	87
6000	0.000525695	86
7000	0.000497738	85
8000	0.000693033	84
9000	0.000595733	83
10000	0.000884651	82
20000	0.00213345	81
30000	0.00258501	80
40000	0.00256795	79
50000	0.005207	78
60000	0.0060981	77
70000	0.00659375	76
80000	0.00279192	75
90000	0.00306737	74
100000	0.00428306	73
125000	0.00575692	72
150000	0.0129171	71
175000	0.0162853	70
200000	0.0142779	69
225000	0.00805473	68
250000	0.0173456	67
275000	0.0268757	66
300000	0.0154119	65
325000	0.0128414	64
350000	0.0192875	63
375000	0.0257792	62
400000	0.0191348	61
425000	0.0206419	60
450000	0.0379042	59
475000	0.0195713	58
500000	0.0181231	57
550000	0.0514716	56
600000	0.0330382	55
650000	0.0445985	54
700000	0.0485796	53
750000	0.0463923	52
800000	0.043722	51
850000	0.0194782	50
900000	0.0826389	49
950000	0.027101	48
1000000	0.0654828	47
1250000	0.0514656	46
1500000	0.0971394	45
1750000	0.0902861	44
2000000	0.123728	43
2250000	0.113729	42
2500000	0.142257	41
2750000	0.198966	40
3000000	0.192505	39
3250000	0.167821	38
3500000	0.219272	37
3750000	0.163334	36
4000000	0.215902	35
4250000	0.287363	34
4500000	0.291853	33
4750000	0.196366	32
5000000	0.252596	31
